AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,Mechanical Engineering Technologists and Technicians,detailed,59720,37830,38600,74640,82410,59650
Florida,Calibration Technologists and Technicians,detailed,59770,41250,47940,74040,95860,64360
Florida,"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,70500,46950,54580,89230,106930,73680
Florida,Surveying and Mapping Technicians,detailed,48040,36640,39310,60930,73020,52010
Florida,"Life, Physical, and Social Science Occupations",major,75330,42370,52570,101910,138080,85680
Florida,Food Scientists and Technologists,detailed,101160,48090,73380,118230,139480,101960
Florida,Soil and Plant Scientists,detailed,103240,48940,77270,115210,125250,98800
Florida,Biochemists and Biophysicists,detailed,157390,63950,91040,186000,279970,157820
Florida,Microbiologists,detailed,80930,46090,59510,106900,135710,87610
Florida,Zoologists and Wildlife Biologists,detailed,52750,39900,45690,65170,97660,61260
Florida,"Biological Scientists, All Other",detailed,83780,43680,54000,107120,119540,85540
Florida,Conservation Scientists,detailed,51130,37110,40830,72820,98360,61760
Florida,Foresters,detailed,64130,49920,51500,88380,112660,71970
Florida,Epidemiologists,detailed,79460,57500,63130,104160,129930,90700
Florida,"Medical Scientists, Except Epidemiologists",detailed,94940,64630,78510,143920,208090,121850
Florida,"Life Scientists, All Other",detailed,91900,62810,90650,160640,174990,109110
Florida,Physicists,detailed,225390,113240,153980,285400,308580,219910
Florida,Atmospheric and Space Scientists,detailed,115960,52980,89270,144330,172410,114740
Florida,Chemists,detailed,82740,50200,60980,108640,150840,91600
Florida,Materials Scientists,detailed,102340,77270,80720,124860,155070,108590
Florida,"Environmental Scientists and Specialists, Including Health",detailed,60830,42600,48870,81600,109290,69830
Florida,"Geoscientists, Except Hydrologists and Geographers",detailed,95140,55440,69220,119990,164070,103290
Florida,Hydrologists,detailed,76850,58620,68100,91560,119670,84130
Florida,"Physical Scientists, All Other",detailed,131690,88610,106220,178150,263640,151150
Florida,Economists,detailed,102430,65850,72880,134180,174900,113290
Florida,Survey Researchers,detailed,*,*,*,*,*,*
Florida,Clinical and Counseling Psychologists,detailed,85610,55480,69330,146650,259990,118480
Florida,School Psychologists,detailed,84760,62320,76730,102300,107540,87970
Florida,"Psychologists, All Other",detailed,134690,73920,107870,152530,166260,126600
Florida,Sociologists,detailed,46950,39150,41200,125950,171360,86550
Florida,Urban and Regional Planners,detailed,80720,52930,64520,102240,129350,87080
Florida,Anthropologists and Archeologists,detailed,59270,44660,52190,83060,95180,67980
Florida,Historians,detailed,74740,44280,56780,95800,112260,76700
Florida,Political Scientists,detailed,*,*,*,*,*,*
Florida,"Social Scientists and Related Workers, All Other",detailed,83460,44990,69240,100920,127190,86270
Florida,Agricultural Technicians,detailed,42700,37490,40130,55660,75840,49300
Florida,Food Science Technicians,detailed,58500,37620,46120,82350,91820,62250
Florida,Biological Technicians,detailed,48700,36050,38240,62120,78130,52420
Florida,Chemical Technicians,detailed,54050,39200,45100,64190,75560,56340
Florida,"Environmental Science and Protection Technicians, Including Health",detailed,48840,39280,44280,60710,74170,53620
Florida,"Geological Technicians, Except Hydrologic Technicians",detailed,49980,37560,39660,64090,74340,54070
Florida,Hydrologic Technicians,detailed,61820,44520,50210,79950,89230,65110
Florida,Nuclear Technicians,detailed,135550,88310,111230,135550,135550,121650
Florida,Social Science Research Assistants,detailed,50700,33190,34370,64000,81520,54530
Florida,Forest and Conservation Technicians,detailed,52420,33760,41890,68140,80750,55350
Florida,Forensic Science Technicians,detailed,64140,44280,52010,80600,93870,67390
Florida,"Life, Physical, and Social Science Technicians, All Other",detailed,63180,32240,42830,83990,104690,66670
Florida,Occupational Health and Safety Specialists,detailed,88820,49050,64650,109940,133120,90680
Florida,Occupational Health and Safety Technicians,detailed,59140,49590,51770,62920,85390,62410
Florida,Community and Social Service Occupations,major,51260,36740,44260,64370,80960,56740
Florida,"Educational, Guidance, and Career Counselors and Advisors",detailed,53140,38290,46800,66800,82780,58380
Florida,Marriage and Family Therapists,detailed,56400,39460,45800,75020,102280,64890
Florida,Rehabilitation Counselors,detailed,45990,34410,36920,54150,67980,49620
Florida,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,56790,39430,46590,73030,84410,61030
Florida,"Counselors, All Other",detailed,45880,35830,39370,49740,55540,46090
Florida,"Child, Family, and School Social Workers",detailed,56550,39760,47130,64940,79580,57970
Florida,Healthcare Social Workers,detailed,64820,45760,57840,76280,88470,66920
Florida,Mental Health and Substance Abuse Social Workers,detailed,51590,38180,44450,62050,77610,55310
Florida,"Social Workers, All Other",detailed,58550,42220,50000,88650,109990,69060
Florida,Health Education Specialists,detailed,46360,29990,29990,64950,94040,53530
Florida,Probation Officers and Correctional Treatment Specialists,detailed,50960,38350,44990,58490,64940,52570
